id;name;street;number;postal_code;city
1;mobile Fish;Lauryn Spur;Dam;Practical Fresh Pants;Bryonchester
2;Movies Producer;Coy Street;Chips;Money Market Account;Judgetown
3;Home Namibia;Beahan Keys;Coordinator;Common;Mosciskiville
4;Cambridgeshire Mississippi;Lenny Canyon;Table Small Frozen Sausages Planner;envisioneer Music Public-key;South Marjorieland
5;Buckinghamshire Games;Gerhold Union;invoice;convergence;South Kenyattaville
6;Facilitator;Weimann Springs;Chief Credit Card Account;archive Georgia Aruba;Hanehaven
7;compress South Georgia and the South Sandwich Islands;Wintheiser Path;Home Loan Account;Plastic;Cummerataton
8;Administrator;Dooley Springs;Books;magenta monitor 1080p;Aprilside
9;deposit Internal;Isobel Summit;Ergonomic;moratorium moratorium;Lanefurt
10;COM;Carter Mall;bus synthesize Idaho;Networked Sleek Metal Table Small;North Collin
