id;caption;language;offer_date
1;Planner Strategist;ENGLISH;2019-10-29T10:46:53
2;Bedfordshire;GERMAN;2019-10-29T00:31:13
3;Arkansas Intelligent Credit Card Account;ENGLISH;2019-10-29T09:29:01
4;calculating Metal array;GERMAN;2019-10-28T21:46:56
5;HDD;GERMAN;2019-10-29T12:33:44
6;Handcrafted Cotton Bacon Unbranded Fresh Pants;ENGLISH;2019-10-29T14:58:09
7;North Dakota Garden;ENGLISH;2019-10-28T21:05:26
8;TCP Assimilated;GERMAN;2019-10-29T08:34:49
9;Plastic South Georgia and the South Sandwich Islands;ENGLISH;2019-10-28T21:00:59
10;sky blue;ENGLISH;2019-10-28T23:47:55
